"Year","Description","TotalAnnualFlights"
2000,"Trans World Airways LLC",267131
2000,"United Air Lines Inc.",776559
2000,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",748624
2001,"American Airlines Inc.",716985
2001,"Aloha Airlines Inc.",53798
2001,"Alaska Airlines Inc.",156447
2001,"Continental Air Lines Inc.",377281
2001,"Delta Air Lines Inc.",835236
2001,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",209979
2001,"American Eagle Airlines Inc.",489418
2001,"Northwest Airlines Inc.",533045
2001,"Trans World Airways LLC",244721
2001,"United Air Lines Inc.",704977
2002,"American Airlines Inc.",852439
2002,"Alaska Airlines Inc.",159194
2002,"Continental Air Lines Inc.",325246
2002,"Delta Air Lines Inc.",728758
2002,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",196111
2002,"American Eagle Airlines Inc.",439984
2002,"Northwest Airlines Inc.",513331
2002,"United Air Lines Inc.",587887
2002,"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",511664
2002,"Southwest Airlines Co.",956745
2003,"American Airlines Inc.",752241
2003,"Alaska Airlines Inc.",161594
2003,"JetBlue Airways",67184
2003,"Continental Air Lines Inc.",302742
2003,"Independence Air",291600
2003,"Delta Air Lines Inc.",660617
2003,"Atlantic Southeast Airlines",273712
2003,"AirTran Airways Corporation",144700
2003,"Hawaiian Airlines Inc.",7831
2003,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",189519
2004,"American Airlines Inc.",698548
2004,"Alaska Airlines Inc.",166992
2004,"JetBlue Airways",89834
2004,"Continental Air Lines Inc.",299329
2004,"Independence Air",264955
2004,"Delta Air Lines Inc.",687638
2004,"Atlantic Southeast Airlines",278861
2004,"AirTran Airways Corporation",162558
2004,"Hawaiian Airlines Inc.",48077
2004,"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",195939
2005,"American Airlines Inc.",673569
2005,"Alaska Airlines Inc.",158100
2005,"JetBlue Airways",111050
2005,"Continental Air Lines Inc.",296661
2005,"Independence Air",136492
2005,"Delta Air Lines Inc.",658302
2005,"Atlantic Southeast Airlines",304647
2005,"Frontier Airlines Inc.",53255
2005,"AirTran Airways Corporation",195392
2005,"Hawaiian Airlines Inc.",48183
2006,"American Airlines Inc.",643597
2006,"Aloha Airlines Inc.",35387
2006,"Alaska Airlines Inc.",159404
2006,"JetBlue Airways",155732
2006,"Continental Air Lines Inc.",309389
2006,"Delta Air Lines Inc.",506086
2006,"Atlantic Southeast Airlines",273143
2006,"Frontier Airlines Inc.",90181
2006,"AirTran Airways Corporation",237645
2006,"Hawaiian Airlines Inc.",52173
2007,"Pinnacle Airlines Inc.",258851
2007,"American Airlines Inc.",633857
2007,"Aloha Airlines Inc.",46360
2007,"Alaska Airlines Inc.",160185
2007,"JetBlue Airways",191450
2007,"Continental Air Lines Inc.",323151
2007,"Delta Air Lines Inc.",475889
2007,"Atlantic Southeast Airlines",286234
2007,"Frontier Airlines Inc.",97760
2007,"AirTran Airways Corporation",263159
2008,"Pinnacle Airlines Inc.",88359
2008,"American Airlines Inc.",204519
2008,"Aloha Airlines Inc.",7800
2008,"Alaska Airlines Inc.",49885
2008,"JetBlue Airways",67478
2008,"Continental Air Lines Inc.",102702
2008,"Delta Air Lines Inc.",151409
2008,"Atlantic Southeast Airlines",92383
2008,"Frontier Airlines Inc.",30680
2008,"AirTran Airways Corporation",86856
